"filename", "language", "HTML", "JSON", "JavaScript", "Properties", "XML", "CSS", "Markdown", "comment", "blank", "total"
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/data/footer-links.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 1, 56
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/data/homepage-explore.js", "JavaScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 117
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/data/navbar-links.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 1, 1, 19
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/index.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/index.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 3, 4, 28
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/pages/About.js", "JavaScript", 0, 0, 175, 0, 0, 0, 0, 0, 19, 194
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/pages/Contact.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 0, 12, 149
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/pages/Dashboard.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 1, 6, 29
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/pages/ForgotPassword.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 0, 12, 75
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/pages/Home.js", "JavaScript", 0, 0, 172, 0, 0, 0, 0, 0, 25, 197
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/pages/ResetPassword.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 0, 11, 103
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/pages/VerifyOtp.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 7, 79
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/reducers/rootReducer.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/reducers/slices/authSlice.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/reducers/slices/profileSlice.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/services/apiConnector.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/services/apis.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 13, 12, 65
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/services/operations/authApi.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 4, 14, 83
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/services/operations/cartApi.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 2, 38
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/services/operations/coursesApi.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/services/operations/resetPasswordApi.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 3, 38
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/src/setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"/Users/shashanknanda/Documents/programming/html:css:js/studynotion/studynotion/tailwind.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 1, 2, 10
"Total", "-", 20, 18967, 2195, 1, 288, 46, 38, 81, 338, 21974
